iter	RMSE
0	14.72171527
1	14.44570432
2	14.16843269
3	13.90366175
4	13.67170071
5	13.44364826
6	13.21944125
7	13.00226901
8	12.80060295
9	12.57729275
10	12.38688702
11	12.15777372
12	11.98076539
13	11.77000038
14	11.57487359
15	11.37254462
16	11.17601981
17	11.01034888
18	10.83912936
19	10.66336795
20	10.51746319
21	10.35684398
22	10.22588998
23	10.07149349
24	9.93816984
25	9.80532134
26	9.663089083
27	9.528311794
28	9.397311308
29	9.276208554
30	9.175885165
31	9.058562622
32	8.948635467
33	8.858327174
34	8.739103492
35	8.64492491
36	8.549769333
37	8.465202242
38	8.375621184
39	8.297998039
40	8.226414126
41	8.154801842
42	8.063206573
43	7.985160022
44	7.916027246
45	7.828766102
46	7.762587721
47	7.706335426
48	7.638940576
49	7.566166757
50	7.503408244
51	7.443868995
52	7.385157379
53	7.315549094
54	7.252197291
55	7.193262993
56	7.144875059
57	7.096985664
58	7.040173551
59	6.984819892
60	6.930524777
61	6.883138808
62	6.845226602
63	6.801736743
64	6.755107993
65	6.709126641
66	6.675011991
67	6.635232332
68	6.602801029
69	6.56380159
70	6.531670617
71	6.502570247
72	6.468913256
73	6.4397995
74	6.41389956
75	6.388780039
76	6.362200382
77	6.33989676
78	6.310147598
79	6.284969903
80	6.259985218
81	6.236262486
82	6.209786414
83	6.185851465
84	6.163350902
85	6.140473557
86	6.120830459
87	6.101607442
88	6.079448886
89	6.062232922
90	6.040402874
91	6.019097839
92	6.001344069
93	5.97871596
94	5.960817017
95	5.947952232
96	5.937131891
97	5.92166366
98	5.906162469
99	5.893520736
100	5.875346667
101	5.858261713
102	5.840706328
103	5.829884885
104	5.813895579
105	5.80277231
106	5.794156219
107	5.782312615
108	5.766620622
109	5.751303901
110	5.740109577
111	5.72732277
112	5.715040416
113	5.703480438
114	5.695818304
115	5.684739544
116	5.677572242
117	5.665528628
118	5.658309459
119	5.647574201
120	5.638892661
121	5.628838079
122	5.619051974
123	5.609067937
124	5.599446626
125	5.59134005
126	5.58309119
127	5.576632423
128	5.569349645
129	5.561365706
130	5.553058589
131	5.544582228
132	5.537584721
133	5.530713391
134	5.52359481
135	5.514651574
136	5.506742786
137	5.500278727
138	5.494308096
139	5.488469796
140	5.482073448
141	5.477249551
142	5.472524666
143	5.467525168
144	5.460383184
145	5.454360384
146	5.449437649
147	5.445513166
148	5.441828171
149	5.43645826
150	5.432914582
151	5.42973738
152	5.426376649
153	5.42081027
154	5.417044987
155	5.412102105
156	5.407442881
157	5.403217719
158	5.400374074
159	5.395790557
160	5.393246353
161	5.389055798
162	5.385787861
163	5.37881094
164	5.37574742
165	5.37260216
166	5.370083969
167	5.366116678
168	5.360475506
169	5.357194819
170	5.354593078
171	5.349360235
172	5.347025876
173	5.343784437
174	5.340652526
175	5.336379851
176	5.331992043
177	5.329733808
178	5.32691692
179	5.324759757
180	5.32211783
181	5.319937062
182	5.316687591
183	5.312084187
184	5.308697051
185	5.306177524
186	5.303378667
187	5.299159297
188	5.295875591
189	5.292898951
190	5.289790956
191	5.287052271
192	5.28445342
193	5.281998147
194	5.279986433
195	5.27748992
196	5.276027378
197	5.273768881
198	5.270952614
199	5.267883072
200	5.265087565
201	5.261264925
202	5.257034787
203	5.255368574
204	5.252625919
205	5.250662059
206	5.248723694
207	5.246846839
208	5.245061937
209	5.242896998
210	5.241169591
211	5.238972122
212	5.23729018
213	5.234207749
214	5.232267493
215	5.230193052
216	5.227850454
217	5.226074048
218	5.224044962
219	5.222209424
220	5.22063703
221	5.219001145
222	5.215098104
223	5.211903862
224	5.209025642
225	5.206436531
226	5.20331668
227	5.201520794
228	5.199940695
229	5.197833729
230	5.196790217
231	5.193589596
232	5.189475117
233	5.184762772
234	5.18386536
235	5.182484901
236	5.180756457
237	5.179305044
238	5.177183082
239	5.175473421
240	5.17366155
241	5.172658714
242	5.170592608
243	5.168843668
244	5.166890827
245	5.165323848
246	5.163908255
247	5.162735442
248	5.161132677
249	5.158663906
250	5.156698536
251	5.154578754
252	5.152980439
253	5.151288987
254	5.147396515
255	5.145677797
256	5.144194897
257	5.141713339
258	5.140475845
259	5.139006484
260	5.136116702
261	5.135854581
262	5.134100034
263	5.132757002
264	5.130217555
265	5.128754812
266	5.127618368
267	5.126293157
268	5.124443035
269	5.1214816
270	5.120665464
271	5.11891728
272	5.117914066
273	5.116942905
274	5.115879974
275	5.114961882
276	5.112839259
277	5.111865609
278	5.111087258
279	5.110106815
280	5.108758268
281	5.107794417
282	5.106153307
283	5.103672161
284	5.103344689
285	5.101088826
286	5.099377626
287	5.097983785
288	5.096984596
289	5.096011391
290	5.095132845
291	5.09385143
292	5.090223704
293	5.089195399
294	5.087310537
295	5.085959173
296	5.083715834
297	5.081114754
298	5.079571473
299	5.076749848
300	5.075319639
301	5.072391977
302	5.071285817
303	5.069513832
304	5.068596269
305	5.06546599
306	5.064719444
307	5.061358794
308	5.06065385
309	5.05851806
310	5.057752203
311	5.05638146
312	5.055234466
313	5.054649763
314	5.05293346
315	5.051612553
316	5.04970712
317	5.047716381
318	5.04650123
319	5.04392291
320	5.041781852
321	5.04002075
322	5.038040615
323	5.036781632
324	5.035031676
325	5.034244487
326	5.031100228
327	5.030285281
328	5.027336797
329	5.026566952
330	5.025518772
331	5.023828662
332	5.023054813
333	5.02099819
334	5.019393274
335	5.016441008
336	5.015134894
337	5.014032408
338	5.013134505
339	5.011979474
340	5.008540046
341	5.00483368
342	5.004571542
343	5.001850871
344	5.0013407
345	4.999694397
346	4.997982984
347	4.99558791
348	4.992658008
349	4.991012914
350	4.987559278
351	4.986479787
352	4.983847632
353	4.980664648
354	4.978170307
355	4.975425285
356	4.97404858
357	4.972805238
358	4.971242141
359	4.969787025
360	4.967758601
361	4.963965893
362	4.963506144
363	4.961173642
364	4.958772111
365	4.9572839
366	4.954191925
367	4.950869723
368	4.948442672
369	4.947616124
370	4.945880099
371	4.944378398
372	4.941739598
373	4.941280834
374	4.939123693
375	4.936124243
376	4.934036826
377	4.932417725
378	4.931295809
379	4.930663134
380	4.928043663
381	4.925529629
382	4.924131139
383	4.921451895
384	4.921199144
385	4.918512869
386	4.915635628
387	4.915373079
388	4.914089241
389	4.913047774
390	4.911747261
391	4.910418103
392	4.909131546
393	4.907319374
394	4.905557624
395	4.904263364
396	4.901504279
397	4.901061174
398	4.900007777
399	4.898441751
400	4.895465876
401	4.89361654
402	4.89117297
403	4.887522296
404	4.886102552
405	4.88377878
406	4.882809001
407	4.880791672
408	4.880262698
409	4.878132627
410	4.87759267
411	4.875297542
412	4.874307451
413	4.872664868
414	4.871292876
415	4.869105764
416	4.866873295
417	4.86550747
418	4.863434005
419	4.861617541
420	4.86102609
421	4.859373627
422	4.858826864
423	4.85672168
424	4.856502906
425	4.85545317
426	4.853343334
427	4.852780787
428	4.852339987
429	4.850270071
430	4.847208029
431	4.845046211
432	4.844034144
433	4.843747586
434	4.842359092
435	4.840651927
436	4.840225014
437	4.839312332
438	4.839198576
439	4.838293626
440	4.837659655
441	4.836299513
442	4.834252523
443	4.830987595
444	4.829184879
445	4.827607161
446	4.826108342
447	4.824914896
448	4.824724529
449	4.822752473
450	4.819774509
451	4.818429254
452	4.818009203
453	4.815212872
454	4.813881693
455	4.811132783
456	4.808819764
457	4.807729209
458	4.80659793
459	4.804475618
460	4.800969415
461	4.79992359
462	4.799581881
463	4.799059147
464	4.795805467
465	4.794517899
466	4.793775604
467	4.791412434
468	4.791074761
469	4.790157056
470	4.789515559
471	4.787915972
472	4.787246781
473	4.786406572
474	4.786250499
475	4.785185056
476	4.783265767
477	4.782674457
478	4.779683184
479	4.777369728
480	4.776841132
481	4.773989925
482	4.773077243
483	4.771244188
484	4.769120963
485	4.767190636
486	4.765019095
487	4.764444323
488	4.762202595
489	4.761555473
490	4.760518792
491	4.759082444
492	4.756964123
493	4.755031194
494	4.754475273
495	4.752189678
496	4.75120064
497	4.749593699
498	4.748576716
499	4.746412958
