iter	Passed	Remaining
0	136	135989
1	136	68182
2	137	45568
3	137	34257
4	138	27472
5	138	22945
6	138	19712
7	139	17286
8	139	15399
9	140	13889
10	140	12653
11	141	11625
12	141	10754
13	142	10008
14	142	9360
15	142	8793
16	143	8294
17	143	7850
18	144	7452
19	144	7094
20	145	6771
21	145	6476
22	146	6207
23	146	5960
24	147	5733
25	147	5524
26	147	5332
27	148	5153
28	148	4985
29	149	4829
30	149	4682
31	150	4545
32	150	4416
33	151	4294
34	151	4179
35	152	4070
36	152	3968
37	152	3871
38	153	3778
39	153	3691
40	154	3608
41	154	3529
42	155	3453
43	155	3381
44	156	3311
45	156	3245
46	156	3182
47	157	3121
48	157	3063
49	158	3007
50	158	2953
51	159	2902
52	159	2852
53	160	2804
54	160	2757
55	160	2713
56	161	2671
57	161	2630
58	162	2590
59	162	2551
60	163	2513
61	163	2477
62	164	2442
63	164	2407
64	165	2374
65	165	2342
66	165	2311
67	166	2278
68	166	2249
69	167	2220
70	167	2192
71	168	2165
72	168	2139
73	168	2113
74	169	2088
75	169	2064
76	170	2040
77	170	2017
78	171	1994
79	171	1972
80	172	1951
81	172	1930
82	172	1910
83	173	1890
84	173	1869
85	174	1850
86	174	1830
87	174	1812
88	175	1795
89	175	1778
90	176	1761
91	176	1744
92	177	1728
93	177	1712
94	178	1696
95	178	1681
96	178	1666
97	179	1651
98	179	1636
99	180	1622
100	180	1609
101	181	1593
102	181	1580
103	181	1567
104	182	1554
105	182	1541
106	183	1529
107	183	1516
108	184	1504
109	184	1493
110	184	1481
111	185	1470
112	185	1458
113	186	1447
114	186	1436
115	187	1425
116	187	1415
117	187	1405
118	188	1394
119	188	1384
120	189	1375
121	189	1366
122	190	1355
123	190	1346
124	191	1337
125	191	1328
126	192	1320
127	192	1310
128	192	1301
129	193	1293
130	193	1285
131	194	1276
132	194	1268
133	195	1260
134	195	1252
135	195	1244
136	196	1237
137	196	1228
138	197	1221
139	197	1213
140	198	1206
141	198	1199
142	198	1192
143	199	1185
144	199	1178
145	200	1171
146	200	1164
147	201	1158
148	201	1151
149	202	1145
150	202	1138
151	202	1132
152	203	1127
153	204	1121
154	204	1115
155	205	1109
156	205	1103
157	206	1098
158	206	1092
159	206	1086
160	207	1080
161	207	1075
162	208	1069
163	208	1064
164	209	1058
165	209	1053
166	210	1048
167	210	1042
168	211	1037
169	211	1032
170	211	1027
171	212	1022
172	212	1017
173	213	1012
174	213	1007
175	214	1002
176	214	997
177	215	992
178	215	988
179	215	983
180	216	978
181	216	973
182	217	969
183	217	965
184	218	960
185	218	956
186	218	951
187	219	947
188	219	943
189	220	939
190	220	934
191	221	930
192	221	926
193	222	922
194	222	918
195	222	914
196	223	910
197	223	906
198	224	902
199	224	898
200	225	895
201	225	891
202	226	887
203	226	883
204	226	880
205	227	876
206	227	873
207	228	869
208	228	865
209	229	862
210	229	858
211	230	855
212	230	852
213	231	849
214	231	846
215	232	842
216	232	839
217	233	836
218	233	832
219	233	829
220	234	826
221	234	823
222	235	819
223	235	816
224	236	813
225	236	810
226	237	807
227	237	804
228	237	801
229	238	798
230	238	795
231	239	792
232	239	789
233	240	786
234	240	783
235	241	780
236	241	777
237	242	774
238	242	772
239	242	769
240	243	766
241	243	763
242	244	761
243	244	758
