iter	Passed	Remaining
0	0	994
1	5	2594
2	6	2030
3	6	1701
4	7	1510
5	8	1358
6	9	1277
7	9	1215
8	10	1154
9	11	1103
10	11	1054
11	12	1014
12	12	980
13	13	949
14	14	921
15	14	900
16	15	885
17	15	871
18	16	854
19	17	841
20	17	829
21	18	817
22	18	804
23	19	792
24	20	783
25	20	777
26	21	769
27	21	762
28	22	756
29	23	745
30	23	737
31	24	732
32	24	725
33	25	720
34	25	716
35	26	713
36	27	709
37	27	702
38	28	696
39	28	695
40	29	693
41	30	690
42	30	687
43	31	683
44	32	680
45	32	680
46	33	677
47	34	676
48	34	673
49	35	669
50	35	665
51	36	662
52	36	660
53	37	658
54	38	655
55	38	653
56	39	652
57	40	650
58	40	648
59	41	646
60	41	644
61	42	642
62	43	639
63	43	637
64	44	634
65	44	631
66	45	629
67	45	627
68	46	622
69	46	619
70	47	618
71	47	616
72	48	614
73	48	611
74	49	606
75	49	604
76	50	603
77	50	601
78	51	601
79	52	600
80	52	598
81	53	597
82	53	595
83	54	593
84	54	591
85	55	590
86	56	590
87	56	589
88	57	587
89	57	585
90	58	584
91	59	582
92	59	580
93	60	579
94	60	578
95	61	577
96	62	578
97	62	579
98	63	578
99	64	577
100	64	576
101	65	575
102	65	573
103	66	572
104	66	570
105	67	567
106	67	566
107	68	564
108	68	563
109	69	561
110	69	560
111	70	559
112	71	557
113	71	556
114	72	556
115	72	555
116	73	553
117	73	552
118	74	552
119	75	551
120	75	549
121	76	548
122	76	547
123	77	547
124	78	546
125	78	545
126	79	545
127	79	544
128	80	544
129	81	545
130	82	545
131	82	544
132	83	543
133	83	542
134	84	541
135	85	541
136	85	540
137	86	538
138	87	539
139	87	539
140	88	538
141	89	537
142	89	536
143	90	536
144	90	535
145	91	534
146	91	533
147	92	532
148	93	531
149	93	530
150	94	529
151	94	529
152	95	528
153	95	527
154	96	526
155	96	523
156	97	522
157	97	521
158	98	521
159	99	520
160	99	519
161	100	519
162	101	518
163	101	518
164	102	517
165	102	516
166	103	515
167	103	514
168	104	514
169	105	513
170	105	512
171	106	512
172	106	511
173	107	510
174	108	510
175	108	509
176	109	509
177	110	508
178	110	508
179	111	507
180	111	506
181	112	505
182	113	504
183	113	504
184	114	504
185	115	503
186	115	503
187	116	502
188	116	502
189	117	501
190	118	501
191	118	500
192	119	499
193	120	498
194	120	497
195	121	496
196	121	495
197	122	494
198	122	493
199	123	492
200	123	492
201	124	491
202	125	490
203	125	490
204	126	489
205	126	488
206	127	488
207	128	487
208	128	487
209	129	486
210	129	485
211	130	484
212	131	484
213	131	483
214	132	482
215	132	481
216	133	480
217	133	479
218	134	478
219	134	478
220	135	477
221	136	476
222	136	475
223	137	474
224	137	473
225	138	472
226	138	472
227	139	470
228	139	470
229	140	469
230	140	468
231	141	468
232	142	467
233	142	467
234	143	466
235	143	465
236	144	464
237	144	463
238	145	463
239	146	462
240	146	461
241	147	460
242	147	459
243	148	459
244	148	458
245	149	457
246	149	457
247	150	456
248	151	455
249	151	454
250	152	454
251	152	453
252	153	454
253	154	454
254	155	454
255	156	453
256	156	453
257	157	452
258	157	451
259	158	450
260	158	449
261	160	450
262	160	450
263	161	449
264	162	450
265	163	449
266	163	449
267	164	449
268	165	448
269	165	448
270	166	447
271	166	446
272	167	445
273	167	444
274	168	444
275	169	443
276	169	442
277	170	441
278	170	441
279	171	440
280	171	439
281	172	438
282	172	437
283	173	436
284	173	435
285	174	434
286	174	434
287	175	433
288	175	432
289	176	431
290	176	430
291	177	430
292	177	429
293	178	428
294	178	427
295	179	426
296	179	425
297	180	425
298	180	424
299	181	423
300	181	422
301	182	421
302	183	421
303	183	420
304	184	419
305	184	418
306	185	418
307	185	417
308	186	416
309	186	415
310	187	414
311	187	413
312	188	413
313	188	412
314	189	412
315	189	411
316	190	410
317	190	409
318	191	408
319	191	407
320	192	407
321	192	406
322	193	405
323	193	404
324	194	404
325	195	403
326	195	402
327	196	402
328	196	401
329	197	400
330	197	399
331	198	398
332	198	398
333	199	397
334	199	396
335	200	396
336	200	395
337	201	394
338	201	393
339	202	393
340	202	392
341	203	391
342	203	390
343	204	389
344	205	389
345	205	388
346	206	387
347	206	387
348	207	386
349	207	385
350	208	384
351	208	384
352	209	383
353	209	383
354	210	382
355	210	381
356	211	380
357	211	379
358	212	379
359	213	378
360	213	378
361	214	377
362	214	376
363	215	376
364	215	375
365	216	374
366	216	373
367	217	373
368	217	372
369	218	371
370	218	370
371	219	369
372	219	369
373	220	368
374	220	368
375	221	367
376	221	366
377	222	365
378	222	365
379	223	364
380	223	363
381	224	363
382	225	362
383	225	361
384	226	361
385	226	360
386	227	359
387	227	359
388	228	358
389	228	357
390	229	356
391	229	356
392	230	355
393	230	354
394	231	354
395	231	353
396	232	352
397	232	352
398	233	351
399	233	350
400	234	349
401	234	349
402	235	348
403	235	347
404	236	346
405	236	346
406	237	345
407	237	345
408	238	344
409	238	343
410	239	343
411	239	342
412	240	341
413	240	341
414	241	340
415	241	339
416	242	338
417	242	338
418	243	337
419	244	337
420	244	336
421	245	335
422	245	335
423	246	334
424	246	333
425	247	333
426	247	332
427	248	331
428	248	330
429	249	330
430	249	329
431	250	329
432	251	328
433	251	328
434	252	327
435	252	326
436	253	326
437	253	325
438	254	324
439	254	324
440	255	323
441	255	322
442	256	322
443	256	321
444	257	321
445	257	320
446	258	319
447	258	319
448	259	318
449	259	317
450	260	316
451	260	316
452	261	315
453	261	315
454	262	314
455	263	314
456	263	313
457	264	312
458	264	312
459	265	311
460	265	310
461	266	310
462	266	309
463	267	308
464	267	308
465	268	307
466	269	307
467	269	306
468	270	305
469	270	305
470	271	304
471	271	303
472	272	303
473	272	302
474	273	301
475	273	301
476	274	300
477	274	300
478	275	299
479	275	298
480	276	298
481	276	297
482	277	297
483	278	296
484	278	296
485	279	295
486	280	294
487	280	294
488	281	293
489	281	293
490	282	292
491	282	292
492	283	291
493	283	290
494	284	290
495	285	289
496	285	289
497	286	288
498	286	287
499	287	287
500	287	286
501	288	285
502	288	285
503	289	284
504	289	284
505	290	283
506	290	282
507	291	282
508	291	281
509	292	281
510	293	280
511	293	279
512	294	279
513	294	278
514	295	277
515	295	277
516	296	277
517	297	276
518	297	275
519	298	275
520	298	274
521	299	274
522	299	273
523	300	272
524	300	272
525	301	271
526	301	270
527	302	270
528	302	269
529	303	269
530	303	268
531	304	267
532	304	267
533	305	266
534	305	265
535	306	265
536	306	264
537	307	264
538	307	263
539	308	262
540	309	262
541	309	261
542	310	261
543	310	260
544	311	259
545	311	259
546	312	258
547	312	257
548	313	257
549	313	256
550	314	255
551	314	255
552	315	254
553	315	254
554	316	253
555	316	253
556	317	252
557	317	251
558	318	251
559	318	250
560	319	249
561	319	249
562	320	248
563	320	248
564	321	247
565	321	246
566	322	246
567	323	245
568	323	245
569	324	244
570	324	243
571	325	243
572	325	242
573	326	241
574	326	241
575	327	240
576	327	240
577	328	239
578	328	239
579	329	238
580	329	237
581	330	237
582	330	236
583	331	235
584	331	235
585	332	234
586	333	234
587	333	233
588	334	233
589	334	232
590	335	232
591	335	231
592	336	230
593	336	230
594	337	229
595	337	229
596	338	228
597	338	227
598	339	227
599	339	226
600	340	226
601	341	225
602	341	224
603	342	224
604	342	223
605	343	223
606	343	222
607	344	221
608	344	221
609	345	220
610	345	220
611	346	219
612	347	219
613	347	218
614	348	218
615	348	217
616	349	216
617	349	216
618	350	215
619	350	215
620	351	214
621	351	213
622	352	213
623	353	212
624	353	212
625	354	211
626	354	210
627	355	210
628	355	209
629	356	209
630	356	208
631	357	207
632	357	207
633	358	206
634	358	206
635	359	205
636	359	205
637	360	204
